AUTHOR,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,WordPerLine,StdDeviation_WPL
WilliamKazer,617,496,2347,40,0,2982,1995,87,41,0,269,3628,1646,2623,77,5,268,491,227,768,29,18,77,2,655,0,771,1196,501,697,268,431,113,56,4,48,25.501111111111,8.5240182809706
AaronPressman,685,305,2472,26,3,2604,1768,85,38,9,387,3914,2005,2181,72,10,155,383,131,739,46,19,70,0,653,1,973,900,560,602,362,416,138,67,6,32,29.359947643979,10.524218790442
JonathanBirt,587,958,1977,33,5,3100,1679,95,46,0,287,3760,1577,2411,47,6,232,452,236,786,47,13,82,0,627,1,699,1039,454,532,264,390,171,45,9,52,31.640988372093,12.680689639006
DarrenSchuettler,693,1017,2409,38,0,3078,2046,148,127,0,225,4406,2078,3469,95,6,428,471,308,680,69,15,91,12,743,2,760,1161,426,619,431,476,83,56,3,61,25.982688391039,8.9434012187261
NickLouth,870,906,2595,31,0,3341,2212,134,87,12,535,5096,1829,3563,181,21,242,675,225,1022,51,16,119,0,738,1,1079,1088,542,639,409,692,146,64,9,71,28.140316205534,10.217983599166
MatthewBunce,809,1325,1784,59,0,3109,1715,151,69,5,347,4373,2428,2351,15,3,193,457,130,954,53,6,136,14,658,0,775,1216,532,864,467,459,64,46,4,41,25.27950310559,9.9760860106878
JohnMastrini,704,797,2757,23,0,3323,2119,156,47,0,364,4308,1439,2739,74,7,293,542,306,817,77,11,80,3,655,7,829,1149,413,602,253,423,138,82,6,62,27,10.486947169496
FumikoFujisaki,628,956,2489,23,0,3313,2504,132,67,0,416,4644,2520,2441,82,10,291,540,225,786,61,7,150,0,790,0,1075,1104,490,699,440,407,141,17,6,53,29.678173719376,9.8583504565841
MartinWolk,703,916,2427,19,0,3178,2174,164,92,0,330,4300,1790,2729,66,15,293,565,268,905,74,10,66,0,757,0,895,1110,527,673,360,509,197,49,2,52,29.686087990488,9.282533636504
RobinSidel,580,491,2274,27,0,2889,1525,118,52,0,364,4065,1384,3248,88,8,290,502,314,814,65,7,62,0,759,1,1009,1048,444,800,368,589,174,68,0,35,28.569007263923,10.455287399574
JaneMacartney,797,716,2948,39,0,3914,2543,95,63,0,296,4817,2072,2866,74,7,321,638,293,985,36,31,142,1,940,3,1048,1454,609,956,386,513,168,112,5,75,29.584008097166,9.6973444405319
AlanCrosby,553,1103,2413,26,0,2845,1885,119,62,0,254,3567,1386,2659,45,6,210,459,217,895,46,8,95,2,469,0,629,1108,422,519,298,329,113,53,3,48,24.079207920792,12.81493460723
ScottHillis,694,639,2287,23,4,3153,1994,91,41,0,332,3744,1812,3035,68,7,343,487,242,677,43,20,95,8,777,0,937,1206,497,767,252,438,101,84,4,74,27.048098434004,8.5358129459372
LynnleyBrowning,938,878,2242,47,1,3090,2392,128,113,0,479,4689,2111,2819,57,11,399,624,181,1006,57,13,112,3,796,5,1093,1114,549,565,447,607,168,82,10,80,27.896480331263,9.5388303097489
JoeOrtiz,620,920,2337,37,4,3001,1583,109,52,0,438,3903,1547,2170,33,14,192,574,319,846,67,15,98,0,741,1,978,960,446,716,309,510,158,66,1,45,28.513043478261,9.8160163861804
JoWinterbottom,654,1185,2270,54,4,3245,1527,109,47,0,471,4457,1860,2958,57,16,244,634,258,919,50,5,134,0,847,0,1065,1439,490,708,261,520,211,73,6,59,28.076335877863,12.056331634655
KouroshKarimkhany,489,554,1947,19,0,2627,1717,102,74,0,322,3718,1777,2827,56,5,291,384,316,717,45,18,76,0,710,1,893,959,530,480,263,466,166,43,1,47,29.021333333333,9.7943969470078
BernardHickey,706,872,2080,48,0,2791,1771,116,53,0,403,3640,1450,2809,70,7,304,770,241,919,86,11,79,16,629,4,873,1280,413,572,290,332,105,36,1,65,24.775974025974,10.264184917305
EdnaFernandes,651,1044,2184,47,1,2691,1408,67,29,0,355,3968,1507,1948,26,9,150,562,231,698,44,7,89,1,560,0,767,915,497,675,278,515,125,37,0,47,27.875816993464,11.082884562012
SamuelPerry,809,755,2542,22,4,3346,2211,115,49,0,360,4739,2236,2706,116,8,185,635,320,907,91,16,91,0,847,1,1025,1021,717,717,409,645,225,85,11,57,30.662895927602,9.5400763978572
TimFarrand,673,1661,2073,31,0,3262,1579,127,58,0,252,4328,1706,2452,61,12,273,493,305,796,48,5,85,0,660,1,644,991,419,574,344,427,115,39,4,47,29.591603053435,11.492330918891
EricAuchard,602,697,2284,22,0,3262,2081,119,72,0,287,4845,2029,3085,150,9,347,506,343,814,58,23,91,0,847,0,865,1183,613,611,319,575,170,98,0,48,28.409534127844,9.2789441214136
MarkBendeich,696,791,2057,46,2,2780,1770,116,72,0,226,3915,1357,2486,54,10,342,634,256,822,18,10,58,6,591,1,667,1059,508,568,285,473,112,28,4,39,27.817150063052,10.332583335488
PatriciaCommins,612,683,2191,37,6,2832,1826,91,51,0,308,4080,1622,3284,114,5,312,584,318,852,59,17,57,0,719,0,865,1197,519,647,334,567,178,64,0,45,26.568908489526,11.091602315164
KeithWeir,699,1033,2428,27,0,3089,1961,107,59,0,355,4227,1615,2844,50,7,225,530,259,638,47,13,86,1,684,1,830,1015,411,629,275,554,156,52,2,61,28.475853945819,9.2913675633123
TanEeLyn,559,623,2150,20,10,2954,1948,56,44,0,340,3297,1304,3188,40,8,351,599,256,674,40,7,112,3,687,1,855,1054,420,695,253,459,115,81,6,93,28.10625,9.513803705012
DavidLawder,855,903,2765,21,0,3421,2201,116,63,0,333,4332,2517,4104,134,3,443,527,229,856,46,9,132,0,881,1,1070,1143,524,659,428,606,246,33,2,50,30.693304535637,10.36050496656
SarahDavison,866,723,2591,61,6,3580,2681,154,83,0,419,4703,1871,3295,75,9,369,672,245,1065,56,28,111,3,852,3,1068,1052,565,713,516,672,161,63,3,77,28.228035538006,11.244844109331
KevinMorrison,711,1040,2452,77,0,3271,1802,152,85,0,320,4457,1665,3514,104,6,259,721,289,847,56,10,111,12,671,0,792,1188,444,598,431,611,177,43,1,45,27.459601259182,11.062670592515
TheresePoletti,837,585,2661,49,5,3272,2162,141,97,0,389,5118,2084,3443,129,19,296,674,459,1019,51,20,73,0,716,0,927,1127,626,591,491,731,213,79,1,97,31.28729281768,11.740250633456
HeatherScoffield,669,635,2516,43,1,3219,1799,111,96,0,389,4211,1504,3644,89,4,336,854,303,992,51,11,143,0,839,0,1099,1256,483,653,503,744,139,78,5,62,26.913880445795,10.412645254373
JanLopatka,546,787,2490,32,0,2815,1799,124,56,0,390,3806,1376,2358,47,9,208,522,200,733,45,4,74,5,593,2,831,1045,372,564,248,399,117,82,8,62,25.709302325581,10.339657543551
ToddNissen,634,1109,2462,23,0,3055,1892,109,52,0,343,4002,1909,3344,110,4,251,555,244,826,33,12,98,0,688,0,837,1231,502,679,330,552,187,62,3,64,31.11815920398,10.316977197901
JimGilchrist,506,997,1385,33,2,1757,1317,93,18,0,200,2612,914,2776,88,8,171,354,134,537,30,3,52,3,514,3,511,531,330,413,291,497,103,15,0,36,29.150268336315,18.665753007805
RogerFillion,838,416,2948,33,2,2785,2239,137,37,0,492,4330,2703,2587,164,13,230,422,231,763,56,9,133,0,1018,0,1317,824,495,706,516,536,157,84,9,75,29.230434782609,11.069402983886
BradDorfman,658,802,2198,33,0,2874,1676,152,77,0,371,4046,1678,3125,82,5,290,731,205,940,47,5,84,0,655,1,893,1311,440,485,380,522,143,65,2,53,26.863892013498,11.038460778038
MarcelMichelson,749,1078,2589,37,5,3276,1775,66,51,0,359,4362,1533,3699,77,16,258,516,293,679,26,7,65,3,766,1,879,1074,422,597,256,557,141,27,1,41,28.394618834081,10.188530776508
PierreTran,776,1201,2819,28,11,3298,2054,103,40,1,362,4670,1756,3280,52,10,243,489,297,689,46,10,126,0,799,0,971,1111,468,672,246,628,194,27,0,50,28.878128400435,9.5803315916935
GrahamEarnshaw,718,725,2762,73,0,3215,2139,128,83,0,313,4047,2429,1832,64,7,215,534,140,970,55,13,96,6,732,0,851,1130,483,758,432,480,113,30,0,50,28.46735395189,8.903409362015
BenjaminKangLim,712,637,2540,18,4,3295,2023,63,52,0,243,4128,1671,3036,83,12,427,490,294,683,36,13,97,1,819,4,870,1379,478,903,235,531,119,108,3,42,26.780021253985,8.2647134374754
LydiaZajc,298,1171,1181,9,0,1981,1288,139,102,0,136,2489,1479,2586,76,9,317,249,141,487,39,17,69,12,523,0,431,1097,352,322,186,208,80,23,0,19,23.025495750708,10.34528132616
PeterHumphrey,763,591,2870,43,6,3647,2509,58,70,0,477,4343,1513,4152,36,14,474,797,286,892,31,26,139,0,877,3,1165,1150,491,814,331,674,120,142,11,95,29.791277258567,9.183999287723
AlexanderSmith,868,807,2975,60,0,3614,2199,131,77,0,488,4805,1988,2888,78,7,308,763,288,1007,65,8,115,1,766,2,1058,1389,561,946,380,562,172,90,2,54,31.104008667389,10.706060654748
SimonCowell,771,1059,2509,49,0,3106,1785,98,53,0,392,4278,2053,2009,34,25,262,581,240,783,58,11,109,24,909,0,1051,1101,548,748,315,406,123,40,6,57,28.003405221339,11.156048724245
LynneO'Donnell,847,1052,2570,55,0,3717,2056,94,55,1,381,4697,2264,3293,47,15,249,808,133,993,36,8,115,9,774,0,868,1563,582,886,435,572,103,59,0,55,25.053744493392,10.001661605826
KevinDrawbaugh,650,729,1912,44,0,2642,1700,130,63,0,305,3592,1859,3231,101,7,192,596,181,846,66,8,99,0,610,0,745,1071,457,563,414,604,139,41,3,52,26.4,12.553995009465
MureDickie,685,551,2416,33,1,3262,2318,73,48,0,303,4061,1824,2972,75,12,387,588,233,714,39,11,70,2,832,2,947,1458,442,865,286,369,130,71,3,47,28.929223744292,8.1892297484143
KirstinRidley,800,1113,2220,27,0,3118,2176,137,125,0,377,4211,1945,2921,74,11,352,566,264,875,52,30,117,1,767,3,986,888,484,666,361,677,208,61,15,48,30.820359281437,10.860633404859
MichaelConnor,658,666,1913,12,1,2607,1600,87,55,0,342,3365,1824,3310,102,11,197,414,190,638,44,9,65,0,550,1,762,1024,461,617,231,409,99,31,9,34,28.439632545932,11.457883800131
KarlPenhaul,581,504,2323,25,2,2754,1734,82,61,0,283,3642,1558,2080,60,21,263,447,231,624,29,11,119,0,589,0,738,986,412,710,254,347,120,68,4,53,34.820132013201,11.588046816676
