TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,19,96,2,0,26,65,10,1,0,6,78,79,81,1,0,0,19,11,23,3,0,0,0,3,0,32,18,11,7,11,22,0,1,0,3
CD,37,190,28,0,0,135,65,5,9,0,3,306,94,19,0,0,0,9,1,7,0,0,0,0,17,0,0,7,7,7,1,5,3,0,0,1
DT,0,58,4,0,0,27,676,14,23,0,13,1136,200,218,8,0,0,0,0,24,4,3,0,0,2,0,0,2,21,31,4,20,1,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,5,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,2,204,1109,9,0,63,390,24,11,0,0,378,216,492,4,1,0,114,72,47,2,0,0,0,7,0,3,0,121,14,0,0,13,8,0,9
JJ,36,50,9,1,0,114,238,1,3,0,0,1126,733,68,0,0,6,15,2,6,0,0,0,0,81,0,0,2,8,1,1,1,0,0,0,2
JJR,3,0,2,0,0,39,13,1,0,0,0,24,35,2,0,0,0,1,1,0,0,0,0,0,7,0,0,2,2,0,0,0,0,0,0,0
JJS,0,3,0,0,0,7,8,0,0,0,0,30,15,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,55,2,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0
NN,168,166,163,3,0,1209,148,5,0,0,105,856,646,181,0,1,48,90,2,93,23,0,2,0,194,0,2,210,47,46,16,157,50,1,2,9
NNS,235,8,92,4,0,672,78,7,0,0,129,63,76,78,1,0,22,79,1,98,2,0,3,0,145,0,6,238,83,73,236,33,49,3,1,5
NP,88,63,122,0,0,126,54,0,0,0,42,138,45,995,67,0,213,35,1,30,3,0,0,0,24,0,3,270,12,10,11,57,22,2,3,5
NPS,14,0,1,0,0,3,0,0,0,0,1,4,2,28,0,0,1,1,1,1,0,0,0,0,4,0,0,11,1,0,8,0,0,0,0,1
PDT,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,17,0,0,0,0,106,0,17,0,0,80,26,35,1,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0
PP,4,0,3,0,0,11,8,7,0,0,84,3,4,2,0,0,0,4,0,11,3,0,1,0,10,0,2,232,1,0,91,59,0,0,0,0
PP$,0,4,0,0,0,0,65,0,1,0,0,94,54,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
RB,8,59,50,0,0,128,83,13,0,0,2,13,7,8,0,4,0,18,1,37,4,0,0,0,26,0,94,47,47,106,18,10,0,0,0,3
RBR,0,0,12,0,0,9,17,0,0,0,2,0,1,3,0,0,0,1,0,6,0,0,0,0,2,0,1,1,0,6,0,0,0,0,0,0
RBS,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
RP,2,0,36,0,0,36,15,4,1,0,0,18,10,1,0,0,0,1,7,7,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,32,71,0,0,0,38,10,0,0,0,10,15,32,0,0,0,4,10,10,0,0,0,0,1,0,548,0,6,1,0,0,1,1,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,9,13,217,0,0,106,134,13,0,0,0,101,71,41,0,1,0,28,61,31,7,1,78,0,43,0,23,0,6,85,0,1,1,0,0,4
VBD,6,36,211,3,0,165,105,6,0,0,0,31,61,101,0,2,0,59,14,102,4,0,15,0,33,0,2,4,41,100,0,0,0,0,0,3
VBG,3,16,87,0,0,97,48,2,0,0,0,58,61,11,0,1,0,11,20,10,3,0,17,0,23,0,2,1,4,10,0,1,1,0,0,3
VBN,8,6,49,0,0,270,44,0,1,0,2,53,32,22,0,0,0,14,9,31,1,0,23,0,97,0,1,3,15,16,0,0,0,0,0,2
VBP,3,3,48,1,0,41,55,4,0,0,1,12,13,11,0,0,0,19,1,72,0,3,8,0,17,0,0,1,28,95,0,4,0,0,0,0
VBZ,0,7,54,0,0,26,43,6,0,0,3,14,13,7,0,0,0,2,10,66,0,0,3,0,38,0,0,0,24,86,0,1,0,1,0,3
WDT,0,1,2,0,0,1,1,0,0,0,16,7,4,1,0,0,0,4,0,5,0,0,0,0,1,0,0,40,0,0,32,26,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,2,1,11,0,0,0,5,0,0,0,0,7,4,1,0,0,0,7,0,7,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0
