TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
CC,0,31,76,1,0,29,88,26,1,0,15,97,62,98,0,3,0,36,13,31,2,0,0,0,0,0,26,30,14,7,3,12,2,0,0,0
CD,52,26,36,0,0,114,40,6,0,0,15,225,227,34,0,0,0,13,3,20,2,0,0,0,29,0,0,18,22,12,2,6,7,2,1,4
DT,0,71,0,0,0,14,661,22,33,0,2,1173,117,191,2,0,0,2,0,53,7,5,0,0,1,0,0,5,26,15,3,24,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,11,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,2,168,1108,6,0,69,336,26,22,0,1,317,227,495,1,6,0,72,136,57,4,0,0,0,13,0,1,0,83,16,0,0,5,6,0,1
JJ,34,172,18,1,0,128,189,3,2,0,2,1036,357,111,0,0,0,11,0,20,3,0,0,0,63,0,0,5,12,2,0,2,1,0,0,2
JJR,6,1,2,0,0,67,12,0,0,0,0,33,24,7,0,0,0,0,2,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0
JJS,0,10,1,0,0,12,10,0,0,0,0,34,14,2,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0
NN,248,78,138,4,0,1231,72,7,2,0,98,584,339,253,0,0,120,106,2,148,16,1,2,0,199,0,6,229,56,76,20,141,96,7,0,21
NNS,170,10,96,2,0,463,49,4,1,0,47,59,31,101,0,0,3,53,3,60,8,0,0,0,79,0,7,196,69,71,143,15,37,12,0,1
NP,131,159,70,0,0,170,48,0,0,0,39,199,106,980,63,0,170,37,2,45,0,0,0,0,29,0,3,264,34,14,7,98,42,5,1,13
NPS,4,0,0,0,0,9,0,0,0,0,0,2,1,27,0,0,0,5,0,0,0,0,0,0,0,0,0,9,1,0,0,2,2,4,0,0
PDT,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,8,0,0,0,0,103,0,13,0,0,106,21,33,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0
PP,8,0,8,0,0,25,2,0,2,0,42,0,0,6,0,0,0,4,0,18,0,0,0,0,12,0,2,211,2,2,136,82,2,1,0,0
PP$,0,9,0,0,0,0,69,1,10,0,0,111,36,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
RB,10,54,72,0,0,150,120,28,0,0,11,7,4,26,0,2,0,28,2,69,12,0,0,0,24,0,64,59,27,81,15,37,1,0,0,2
RBR,3,0,5,0,0,12,30,0,0,0,1,0,3,1,0,0,0,0,0,12,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RP,0,0,14,0,0,27,4,0,0,0,0,3,3,2,0,1,0,1,1,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,1,33,63,0,0,1,26,7,2,0,0,56,23,33,0,0,0,5,9,16,1,0,0,0,0,0,472,1,7,0,0,0,0,1,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,9,18,210,2,0,113,95,14,2,0,0,47,46,35,0,0,0,33,34,71,7,0,35,0,40,0,3,4,20,49,0,2,0,4,0,2
VBD,11,44,207,3,0,139,83,4,1,0,1,55,42,151,0,3,0,76,27,66,3,0,8,0,52,0,0,5,31,95,0,0,1,1,0,0
VBG,1,15,65,0,0,70,36,8,0,0,0,76,54,40,0,0,0,17,12,15,2,0,9,0,79,0,0,0,6,19,0,1,1,1,0,0
VBN,11,3,56,0,0,269,18,0,0,0,4,39,32,39,0,0,0,13,12,31,1,0,7,0,75,0,1,4,21,30,0,0,0,1,0,6
VBP,0,0,40,0,0,29,25,0,0,0,0,13,8,14,0,0,0,18,3,57,5,1,0,0,10,0,4,2,49,78,2,2,0,0,0,0
VBZ,2,6,111,0,0,35,45,7,1,0,0,21,11,12,0,0,0,6,4,61,1,1,5,0,31,0,3,2,38,100,2,0,0,4,0,0
WDT,0,0,0,0,0,0,0,0,0,0,46,1,0,5,0,0,0,6,0,16,0,0,0,0,2,0,0,38,0,0,17,66,0,0,0,0
WP,0,0,2,0,0,0,0,0,0,0,3,0,0,2,0,0,0,7,0,2,0,0,0,0,0,0,0,17,0,0,8,8,0,0,0,0
WP$,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,16,0,0,0,4,1,0,0,0,5,2,5,0,0,0,16,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
